,label-coarse,label-fine,text
179,5,21,What is the name of the city that Maurizio Pellegrin lives in ?
180,5,14,Where can I find pictorial directions on how to build a very simple treehouse ?
181,1,29,"What game 's board shows the territories of Irkutsk , Yakutsk and Kamchatka ?"
182,3,4,What is the name of the managing director of Apricot Computer ?
183,3,6,What is the occupation of Nicholas Cage ?
184,0,9,Why do horseshoes bring luck ?
185,0,7,"What is the 401 , K , plan ?"
186,0,9,What causes pneumonia ?
187,4,8,What are the three winter months in the southern hemisphere ?
188,0,7,What does gringo mean ?
189,5,18,What country contains Africa 's northernmost point ?
190,1,23,What therapy attempts to elicit the `` primal scream '' ?
191,5,14,Where is the Kalahari desert ?
192,3,5,Which Ventura County police department seized the largest cocaine shipment in it 's history ?
193,5,21,What city is sometimes called Gotham ?
194,1,22,What dangles over the tongue from the palate ?
195,3,4,Who created Dennis the Menace ?
196,3,4,What dummy received an honorary degree from Northwestern University ?
197,4,8,When was the first Wall Street Journal published ?
198,5,18,What countries have the largest areas of forest ?
199,0,0,How do I start a web based business ?
200,3,4,Name Alvin 's brothers
201,0,7,What is Eagle 's syndrome styloid process ?
202,0,0,How did Jayne Mansfield die ?
203,4,8,When did the royal wedding of Prince Andrew and Fergie take place ?
204,3,4,What actor said in A Day at the Races : `` Either he 's dead or my watch has stopped '' ?
205,3,4,What explorer was nicknamed Iberia 's Pilot ?
206,4,8,CNN began broadcasting in what year ?
207,1,20,What is a ball that hits the foul pole called ?
208,0,9,What makes hamburgers taste like steakburgers ?
209,3,5,Which company created the Internet browser Mosaic ?
210,1,10,What are the rites accompanying the circumcision of a newly born-child in Judaism called ?
211,1,14,What was the education system in the 1960 's ?
212,5,21,What South American city has the world 's highest commercial landing field ?
213,0,0,How can I find out which cities have cable-modem access ?
214,0,9,What is Betsy Ross famous for ?
215,4,13,How many species of sharks are there ?
216,0,7,What is `` snoogans '' ?
217,4,13,How many people are there in the world ?
218,1,30,What shrubs can be planted that will be safe from deer ?
219,3,5,What organization 's offices were broken into at Watergate in 1972 ?
220,0,12,What is the design of the ship Titanic ?
221,2,3,What does S.O.S. stand for ?
222,1,31,Name a technique widely used to detect birth defects ?
223,0,12,What is the daily requirement of folic acid for an expectant mother ?
224,0,7,What is the `` 7-minute cigarette '' ?
225,1,14,What four forms does gold occur in ?
226,4,32,What is the acreage of the Chappellet vineyard ?
227,0,0,How do you correctly say the word ` qigong ' ?
228,4,8,When did beethoven die ?
229,4,25,How much does a new railroad coal car cost ?
230,5,18,What two European countries entered the War of American Independence against the British ?
231,0,7,What is the filmmakers collabrative ?
232,3,4,What Russian composer 's Prelude in C Sharp Minor brought him fame and fortune ?
233,0,9,What caused Harry Houdini 's death ?
234,3,4,"Who was the mother of the man who would not be king , the duke of Windsor ?"
235,4,13,How many revolutions does a standard LP make in three minutes ?
236,5,24,What is the name of the tallest mountain in the world ?
237,5,14,Where can I find a review of Nightmare on Elm Street in a film journal ?
238,1,31,What 's the slowest Olympic swimming stroke ?
239,3,4,What was the name of the first Russian astronaut to do a spacewalk ?
240,1,23,What disease is transmitted by the Anopheles mosquito ?
241,1,17,What rum is so `` mixable '' it is a one-brand bar ?
242,4,13,How many South American countries have the letter Z in their names ?
243,0,7,What is the contents of proposition 98 ?
244,5,14,Where was George Washington born ?
245,4,13,"How many people on the ground were killed from the bombing of Pan Am Flight 103 over Lockerbie , Scotland , December 21 , CD ."
246,3,4,Who wrote NN DT NNP NNP '' ?
247,0,7,What is paracetamol ?
248,0,12,What are the powers and weaknesses of Green Lantern 's ring ?
249,1,2,"Which mosquito 's bite draws blood , DT NN CC DT NN ."
250,4,8,When was the first steel mill in the United States built ?
251,3,4,What diminutive American female gymnast stole the show at the 1984 Olympics ?
252,0,12,What is the origin of the name Katie ?
253,3,5,"What schools in the Washington , DC NN NN VBP NN NN NN NN ."
254,4,8,When did the Berlin Wall go up ?
255,3,12,Who is Terrence Malick ?
256,1,33,What instrument is Ray Charles best known for playing ?
257,0,7,"What 's the meaning of the Latin battle cry : Ad arma , ad arma ."
258,1,14,What is the mascot for Notre Dame University ?
259,5,14,"What Las Vegas hotel burned in November , 1980 , with the loss of 84 lives ?"
260,4,8,When did Mount St. Helen last have a significant eruption ?
261,2,3,CNN is the abbreviation for what ?
262,4,8,When did World War I start ?
263,4,13,How many feet are there in a fathom ?
264,0,7,What is a Canada two-penny black ?
265,5,21,What European city do Nicois live in ?
266,0,0,How can I find out what year a Beanie Baby was introduced ?
267,0,7,What is the classic definition of tragic hero ?
268,1,14,To what does Microsoft 's Windows 3 owe its success ?
269,3,4,Who was President of Afghanistan in 1994 ?
270,1,31,"What are other ways of getting stretch marks besides pregnancy , weight loss , and weight lifting ?"
271,1,17,What did brontosauruses eat ?
272,1,19,What color bottles do good Rhine wines come in ?
273,3,4,Who was the lead actress in the movie ` Sleepless in Seattle ' ?
274,3,4,Who was the 16th President of the United States ?
275,3,4,Who are the two sons of Ozzie and Harriet Nelson ?
276,0,7,What is molybdenum ?
277,4,8,When is Boxing Day ?
278,1,14,What is the lowest level of the American judiciary ?
279,4,8,When was the battle of the Somme fought ?
280,4,13,How many people did Randy Craft kill ?
281,1,2,What 's the official animal of Canada ?
282,4,8,When did Spielberg direct `` Jaws '' ?
283,4,32,What is the size of the largest akita ?
284,1,2,What animal has the biggest eyes ?
285,5,21,What is California 's capital ?
286,3,4,Who was the author of the book about computer hackers called `` The Cuckoo 's Egg : Tracking a Spy Through the Maze of Computer Espionage '' ?
287,3,4,Who was the founding member of the Pink Floyd band ?
288,5,18,What European country is home to the beer-producing city of Budweis ?
289,0,0,How do I find the balance of my social security account ?
290,0,12,What is the history of Valentine 's Day cards ?
291,5,14,Where was Christopher Columbus born ?
292,1,20,What do Italians call Florence ?
293,0,0,How do you get to the top of the Eiffel Tower ?
294,2,3,What does ` PSI ' stand for ?
295,5,14,What sea did the Romans call mare nostrum ?
296,1,20,What 's the term for a bet before cards are dealt ?
297,1,2,"Which came first , according to Genesis 1 : 2 : 22 - the chicken or the egg ?"
298,5,21,What city did the Flintstones live in ?
299,1,20,What is Latin for incompetent ?
300,1,23,What chemicals are used in lethal injection ?
301,3,5,What toy company is the world 's No.1 maker of female apparel ?
302,1,29,What board game does a `` wood-pusher '' play poorly ?
303,3,4,Which Doonesbury character was likely to turn into a werewolf ?
304,2,34,What is the abbreviation for micro ?
305,1,14,What are the 7 articles of the constitution ?
306,3,5,Who has won the most Super Bowls ?
307,2,3,What does NASDAQ stand for ?
308,2,3,What is BPH ?
309,1,14,What is the fastest commercial automobile that can be bought in the US ?
310,5,14,What stadium do the Miami Dolphins play their home games in ?
311,3,4,Who has the only speaking role in `` Silent Movie '' ?
312,0,9,Why is poop sometimes different colors ?
313,4,14,What was Einstein 's IQ ?
314,4,8,What day was Pearl Harbor attacked in 1942 ?
315,3,4,What girl 's name is `` Teddy '' an affectionate form of ?
316,5,11,What state is John F. Kennedy buried in ?
317,1,31,What is the best way to remove wallpaper ?
318,5,11,What U.S. state has an element named for it ?
319,3,5,What company tabulates the ballots in voting for the Academy Awards ?
320,0,0,How did the tradition of best man start ?
321,4,13,How many years ago did the ship Titanic sink ?
322,5,14,What is the deepest area of the Arctic Ocean ?
323,1,19,What are Halloween 's colors ?
324,0,0,How is silk screening done ?
325,4,14,"What is the latitude and longitude of El Paso , Texas ?"
326,3,4,Who made a boat out of gopher wood ?
327,5,14,Where can I find a `` Fifth Element '' screensaver ?
328,3,4,Which Bloom County resident wreaks havoc with a computer ?
329,0,0,How do you match a name to a social security number ?
330,0,0,How does a rainbow form ?
331,4,14,What is the normal resting heart rate of a healthy adult ?
332,4,14,What is the population of Ohio ?
333,4,13,How many calories are there in a Big Mac ?
334,0,7,Hazmat stands for what ?
335,1,2,What creature scares people in the film `` Jaws '' ?
336,3,4,What part did John Peter Zenger play in the deveopment of the newspaper in America ?
337,3,4,Who followed Caesar ?
338,1,28,What are the four elements ?
339,3,4,Who was the first woman golfer to earn a million ?
340,1,14,What 's the tallest piece on a chessboard ?
341,5,14,What is Answers.com 's address ?
342,5,14,Where can I buy movies on videotape online ?
343,3,4,Who does the advertizing for Frito-Lay ?
344,3,5,Who is the leading competitor of Trans Union Company ?
345,1,26,What product did Robert Conrad dare people to knock off his shoulder ?
346,3,4,Who invented the radio ?
347,4,13,What 's the American dollar equivalent for 8 pounds in the U.K. ?
348,1,31,What are the different approaches of systems analysis ?
349,0,0,How do doctors diagnose bone cancer ?
350,3,4,Who is the man behind the pig-the man who pulls the strings and speaks for Miss Piggy ?
351,4,35,What is the speed of the Mississippi River ?
352,1,14,What are the developmental stages of a swimmer ?
353,3,4,What actor first portrayed James Bond ?
354,5,14,What ocean is the largest in the world ?
355,3,4,"Who was the first American poet to win the Nobel Prize for literature , in 1948 ?"
356,4,8,What year did Jack Nicklaus join the Professional Golfers Association tour ?
357,4,13,How many sonnets did Shakespeare write ?
358,0,9,What causes the redness in your cheeks when you blush ?
359,3,4,Who won the Nobel Peace Prize in 1991 ?
360,3,5,Who are the Challengers of the Unknown ?
361,0,7,Define the Pheonix Club ?
362,5,21,Which city did Christian Crusaders fight to recapture from the Muslims ?
363,0,7,What does it mean `` Rupee Depreciates '' ?
364,1,14,What gaming devices were dubbed `` Mississippi marbles '' and `` Memphis dominoes '' ?
365,3,4,Who was the first coach of the Cleveland Browns ?
366,0,0,How successful is arometherapy ?
367,1,10,What Jewish holiday saw the start of the 1973 Mideast War ?
368,0,0,How does a copier work ?
369,4,35,What is the speed of the Mississippi River ?
370,3,4,Who said of Super Bowl III in 1969 : `` We 'll win- I guarantee it '' ?
371,1,2,What is Dudley Do-Right 's horse 's name ?
372,3,4,Who declared : `` I am down on whores and I shan 't stop ripping them '' ?
373,5,14,Where does chocolate come from ?
374,1,1,What TV game show once saw a contestant admit to picking his toes in the shower ?
375,3,4,What Soviet leader owned a Rolls-Royce ?
376,5,14,Where can I find a case on Individuals with Disabilities Education Act of 1991 ?
377,1,10,What war did Florence Nightingale tend the troops in ?
378,3,4,"Who wrote the song , `` Stardust '' ?"
379,4,13,How many Beatles ' records went #1 ?
380,3,4,Who is the only prime minister of Canada to serve 22 years but not necessarily consecutively ?
381,2,34,What is the abbreviation of the company name ` General Motors ' ?
382,5,24,What mountains lie between the Arkansas and Missouri rivers ?
383,3,4,Who received the Will Rogers Award in 1989 ?
384,0,9,What is the function of RAM ?
385,5,14,What 's the closest G2 Spectrum Yellow Dwarf to Earth ?
386,4,13,How many equal angles are there in an isosceles triangle ?
387,1,23,What is the fear of cockroaches called ?
388,1,1,What CBS soap opera was interrupted by the bulletin of John F. Kennedy 's assassination ?
389,0,12,What is the use of a 24-hour clock instead of a 12-hour clock ?
390,3,4,What was the name of the lawyer who represented Randy Craft ?
391,3,4,What United States President had dreamed that he was assassinated ?
392,1,1,What film did Lee Marvin win the 1965 best actor Oscar for ?
393,5,14,Where is Basque country located ?
394,1,26,What product does `` Mrs. Olsen '' promote ?
395,4,8,What time of day did Emperor Hirohito die ?
396,0,7,What is dry ice ?
397,1,14,What 's the most powerful card in Euchre ?
398,0,7,What does `` intractable plantar keratoma '' mean ?
399,4,13,How many years did it take James Joyce to write Ulysses ?
400,1,17,What crop failure caused the Irish Famine ?
401,5,21,What South Korean city is served by Kimpo International Airport ?
402,4,13,How many types of dogs ' tails are there - three
403,1,1,What is the longest-running television series ?
404,1,2,What predators exist on Antarctica ?
405,0,12,What is the difference between a generator and an alternator ?
406,0,0,How is energy created ?
407,1,17,What beer advertised that it had `` three rings '' ?
408,4,14,What is the quantity of American soldiers still unaccounted for from the Vietnam war ?
409,1,31,What golfing accessory was patented by George Grant on December 12
410,1,14,What are the different types of plastic ?
411,0,0,How is it correct to say ` qigong ' ?
412,5,24,What was the highest mountain on earth before Mount Everest was discovered ?
413,5,14,"Where was the Ligurian Republic , 1797-185 , ?"
414,5,18,What country 's people are the top television watchers ?
415,4,8,When was the women 's suffrage amendment ratified ?
416,3,5,What Polynesian people inhabit New Zealand ?
417,1,1,What movie tour of the Roman empire features the admonition : `` Row well and live '' ?
418,5,21,What Nevada center has been dubbed The Biggest Little City in the World ?
419,3,4,"What President lived at 219 North Delaware Street , Independence , Missouri ?"
420,0,9,Give a reason for American Indians oftentimes dropping out of school .
421,5,14,Where must a soccer goalie stand to be permitted to handle the ball ?
422,0,12,What is the difference between classical conditioning and operant conditioning ?
423,5,11,In what U.S. state was the first woman governor elected ?
424,0,12,What are some interesting facts and information about dogsledding ?
425,4,8,What year did Hitler die ?
426,3,4,What famous model was married to Billy Joel ?
427,1,2,What kind of animal is Babar ?
428,0,9,What is Jane Goodall known for ?
429,1,14,What killed Bob Marley ?
430,4,25,How much money are Dumbo 's ears insured for ?
431,3,4,Who danced into stardom with Fred Astaire in 1941 's You 'll Never Get Rich ?
432,3,12,Who is Stein Eriksen ?
433,0,7,What does the name Billie mean ?
434,3,4,Who is the fastest swimmer in the world ?
435,5,24,What is the highest peak in Africa ?
436,5,14,Where is Procter & Gamble headquartered in the U.S. ?
437,5,14,What desert has been called The Garden of Allah ?
438,1,14,What do bicornate animals have two of ?
439,0,9,What function does a community 's water tower serve ?
440,1,23,What is a fear of weakness ?
441,4,13,How many miles is it to Ohio from North Carolina ?
442,4,13,How much snow equals an inch of rain ?
443,2,3,What does G.M.T. stand for ?
444,0,7,What does Inuit and Eskimo mean ?
445,1,1,What song served as the closing theme of The Johnny Cash Show ?
446,1,29,What field sport did dentist William Beers promote and write a standard book of rules for ?
447,0,0,How do I tie dye clothes ?
448,4,8,When does the average teenager first have intercourse ?
449,0,9,Why doesn 't www.answers.com have any answers to my questions ?
450,3,4,What actor 's autobiography is titled All My Yesterdays ?
451,3,4,What Russian master spy lived in the U.S. under the name Emil Goldfus ?
452,5,14,Where 's the 19th hole on a golf course ?
453,0,9,What 's nature 's purpose for tornadoes ?
454,3,4,Who played the original Charlie 's Angels ?
455,5,14,Where can I find a person 's address from a telephone number ?
456,1,36,"What English word comes from the Old French covrefeu , meaning cover fire ?"
457,1,33,What musical instrument did Prewitt play in James Jones 's From Here to Eternity ?
458,5,14,Where did Sarge Steel get his metal hand ?
459,0,9,What makes popcorn pop ?
460,3,4,Who wrote The Night of the Iguana ?
461,1,22,Where does your hair grow the fastest ?
462,5,18,What country did King Gustav V reign over from 197 to 195 ?
463,3,4,Who painted Mother and Child ?
464,4,35,What is the speed of the Mississippi River ?
465,5,14,In what area of the world was the Six Day War fought ?
466,5,14,What is the brightest star visible from Earth ?
467,1,1,What film marked Robert Redford 's directorial debut ?
468,3,4,What was Mao 's second name ?
469,1,1,What film or films has Jude Law appeared in ?
470,5,14,Where do hyenas live ?
471,3,12,Who is the `` Queen Mother '' ?
472,1,37,What 's the most commonly-spoken language in Belgium ?
473,3,4,Who has more DNA - a man or a woman ?
474,0,7,What are Maid-Rites ?
475,1,1,"What children 's tale contains the line : `` Come , Cinderslut , and hold this skein of wool for me '' ?"
476,3,5,What level of government or governmental agency is responsible for dealing with racism ?
477,4,13,How many referees work a soccer game ?
478,1,17,What cocktail do you concoct with whisky and sweet vermouth ?
479,1,20,How do you say `` fresh '' in Spanish ?
480,0,12,What do bee hives do in cranberry bogs ?
481,0,9,What caused the Lynmouth floods ?
482,4,8,When is the Tulip Festival in Michigan ?
483,3,4,"Who came up with the name , El Nino ?"
484,1,1,What movie did Madilyn Kahn star in with Gene Wilder ?
485,1,14,What type of bridge is the Golden Gate Bridge ?
486,3,4,What dictator has the nickname `` El Maximo '' ?
487,3,5,What stereo manufacturer is `` Slightly ahead of its time '' ?
488,5,21,What U.S. city is The Queen of the Pacific ?
489,3,4,What TV sitcom character had the maiden name Ethel Potter ?
490,1,17,What was the first Lifesaver flavor ?
491,3,4,Who kept the most famous diary in the English language ?
492,5,14,Where can I find out the top 1 singles ?
493,4,13,How many degrees cooler is the inside of a cucumber than the air outside ?
494,3,4,What Spanish artist painted Crucifixion ?
495,1,1,What is the Jewish bible called ?
496,0,9,Why is the grass green ?
497,0,7,What is a firewall ?
498,3,4,What spy novelist served as Moscow correspondent for Reuter and The Times of London ?
499,3,5,Which oil company almost picked a word that meant `` stalled car '' in Japanese as its new international name ?
500,4,27,How long does it take for Spider-Man 's web to evaporate ?
501,3,4,Who was Randy Steven Craft 's lawyer ?
502,5,14,What was known as the Spice Island ?
503,3,4,Who was the first host of Person to Person ?
504,3,4,Name the Ranger who was always after Yogi Bear .
505,1,14,"What deck of cards includes the Wheel of Fortune , the Lovers , and Death ?"
506,1,14,What does the Statue of Liberty wear on her feet ?
507,3,4,Who is the superstar in rent-a-cars ?
508,5,21,McCarren Airport is located in what city ?
509,1,14,"What household facility contains a float ball , ballcock , and overflow tube ?"
510,1,2,What was the name of Betty Boop 's dog ?
511,4,38,What fraction of a beaver 's life is spent swimming ?
512,1,28,What was the Bridge of San Luis Rey made of ?
513,0,12,What do economists do ?
514,5,18,What country has the largest sheep population ?
515,0,12,"What do I need to do to take my dog with me to live in Dominica , West Indies for a year ?"
516,5,18,What country is the world 's largest importer of cognac ?
517,4,13,How many years is Johnnie Walker Black Label aged ?
518,2,3,What does SIDS stand for ?
519,1,14,What is Grenada 's main commodity export ?
520,4,25,"How much would a black-and-white 1-cent stamp be worth , Thomas Jefferson on it , ?"
521,0,9,What makes a clitoris sensitive ?
522,5,18,"What country has the most time zones , with 11 ?"
523,1,14,What `` magic '' does Mandrake employ ?
524,3,4,Who is the president of Stanford University ?
525,3,4,Whose first presidential order was : `` Let 's get this goddamn thing airborne '' ?
526,1,14,"What was introduced commercially by Bayer A.G. of Leverkusen , in 1899 ?"
527,5,21,What city is Logan Airport in ?
528,0,7,What is a nanometer ?
529,4,13,How many innings are there in a regulation softball game ?
530,4,8,When did CNN go on the air ?
531,5,21,What is the largest city on the Great Lakes ?
532,4,39,What is the telephone number for the University of Kentucky ?
533,3,4,Who invented baseball ?
534,4,13,How many wives did Brigham Young have ?
535,1,26,What product on the market is good for hiding facial scars ?
536,4,40,How long is the Coney Island boardwalk ?
537,5,21,What city gained renown for its pea-soup fogs ?
538,0,7,What does `` Janelle '' mean ?
539,0,0,How do I get another city 's newspaper ?
540,1,1,Name a movie about the Sioux Indians starring Kevin Costner .
541,3,4,"Who was shot in the back during a Poker game in Deadwood , the Dakota territory ?"
542,0,12,What are the distinct physical characterstics of the Arabian horse ?
543,1,23,What is a fear of thunder ?
544,1,2,What animal has killed the most people ?
545,4,13,How many colleges are in Wyoming ?
546,5,21,What Russian seaport has a name meaning `` Lord of the East '' ?
547,5,14,Where can stocks be traded on-line ?
548,4,8,When was the Battle of Hastings ?
549,1,14,What kind of file has the extension .dbf ?
550,4,8,When did Muhammad live ?
551,1,20,"What then-derogatory term was applied to the painters Monet , Sisley , Pissarro , Renoir and Degas ?"
552,0,7,What is a wop ?
553,0,12,Where do rocks come from ?
554,0,0,How do I stop background noise in a car stereo ?
555,5,24,Where do people mountain climb in Nepal ?
556,3,5,What is the best college in the country ?
557,0,7,What is viscosity ?
558,1,1,What was the name of the sitcom that Alyssa Milano starred in with Tony Danza ?
559,5,18,What are the Nordic nations ?
