id,name,description
ad-hoc-video-search,Ad-hoc video search,"The Ad-hoc search task ended a 3 year cycle from 2016-2018 with a goal to model the end user search use-case, who is searching (using textual sentence queries) for segments of video containing persons, objects, activities, locations, etc. and combinations of the former. While the Internet Archive (IACC.3) dataset was adopted between 2016 to 2018, starting in 2019 a new data collection based on Vimeo Creative Commons (V3C) will be adopted to support the task for at least 3 more years.

Given the test collection (V3C1 or IACC.3), master shot boundary reference, and set of Ad-hoc queries (approx. 30 queries) released by NIST, return for each query a list of at most 1000 shot IDs from the test collection ranked according to their likelihood of containing the target query."
adroid-door-cloned,Adroid door-cloned,
adroid-door-human,Adroid door-human,
adroid-hammer-cloned,Adroid hammer-cloned,
adroid-hammer-human,Adroid hammer-human,
adroid-pen-cloned,Adroid pen-cloned,
adroid-pen-human,Adroid pen-human,
adroid-relocate-cloned,Adroid relocate-cloned,
adroid-relocate-human,Adroid relocate-human,
adversarial-attack,Adversarial Attack,"An **Adversarial Attack** is a technique to find a perturbation that changes the prediction of a machine learning model. The perturbation can be very small and imperceptible to human eyes.


<span class=""description-source"">Source: [Recurrent Attention Model with Log-Polar Mapping is Robust against Adversarial Attacks ](https://arxiv.org/abs/2002.05388)</span>"
adversarial-attack-detection,Adversarial Attack Detection,The detection of adversarial attacks.
adversarial-defense,Adversarial Defense,"Competitions with currently unpublished results:

- [TrojAI](https://pages.nist.gov/trojai/)"
adversarial-robustness,Adversarial Robustness,Adversarial Robustness evaluates the vulnerabilities of machine learning models under various types of adversarial attacks.
adversarial-text,Adversarial Text,"Adversarial Text refers to a specialised text sequence that is designed specifically to influence the prediction of a language model. Generally, Adversarial Text attack are carried out on Large Language Models (LLMs). Research on understanding different adversarial approaches can help us build effective defense mechanisms to detect malicious text input and build robust language models."
advertising,Advertising,
aerial-scene-classification,Aerial Scene Classification,
aerial-video-saliency-prediction,Aerial Video Saliency Prediction,
aerial-video-semantic-segmentation,Aerial Video Semantic Segmentation,
aesthetic-image-captioning,Aesthetic Image Captioning,
aesthetics-quality-assessment,Aesthetics Quality Assessment,Automatic assessment of aesthetic-related subjective ratings.
affine-image-registration,Affine Image Registration,
affordance-detection,Affordance Detection,"Affordance detection refers to identifying the potential action possibilities of objects in an image, which is an important ability for robot perception and manipulation.

Image source: [Object-Based Affordances Detection with Convolutional Neural Networks and Dense Conditional Random Fields](https://dkanou.github.io/publ/P15__Nguyen_Kanoulas_Caldwell_Tsagarakis__2017__Object-Based_Affordances_Detection_with_Convolutional_Neural_Networks_and__Dense_Conditional_Random_Fields.pdf)

Unlike other visual or physical properties that mainly describe the object alone, affordances indicate functional interactions of object parts with humans."
affordance-recognition,Affordance Recognition,Affordance recognition from Human-Object Interaction
